Longitude,Latitude,FireCause,County,FireDiscoveryDate,FireDiscoveryTime,FireOutDate,FireOutTime,State
-97.780307793,33.1230890910001,Human,Wise,2020/08/13,17:13:34+00,2020/08/16,23:38:52+00,TX
-97.720507595,29.7328384410001,Undetermined,Caldwell,2016/07/09,21:01:59+00,2016/07/11,21:59:59+00,TX
-94.4577134309999,30.4129759670001,Human,Hardin,2021/02/23,21:49:59+00,2021/02/24,17:33:20+00,TX
-96.33809067,31.5284888480001,Human,Limestone,2021/01/09,21:30:00+00,2021/01/10,01:40:35+00,TX
-95.057090439,33.2889225690001,Human,Titus,2017/11/18,17:29:00+00,2017/11/21,15:06:00+00,TX
-97.5775074539999,27.0300045660001,Natural,Kenedy,2018/08/31,01:15:51+00,2018/09/01,23:03:00+00,TX
-94.4810069229999,32.685072484,Human,Harrison,2019/09/03,19:50:00+00,2019/09/04,21:49:59+00,TX
-95.955307267,32.03830563,Human,Henderson,2015/08/13,15:24:00+00,2015/08/13,18:42:00+00,TX
-94.507706931,32.6915058170001,Human,Harrison,2015/07/02,13:53:00+00,2015/07/02,20:25:00+00,TX
-104.151875842,30.764938397,Natural,Jeff Davis,2018/05/16,13:13:57+00,2018/05/23,20:00:00+00,TX
-98.561891319,33.087605717,Unknown,Young,2019/09/12,21:21:34+00,2019/09/16,01:01:35+00,TX
-94.283305196,32.539299129,Unknown,Harrison,2019/04/03,20:23:59+00,2019/04/08,14:54:45+00,TX
-95.9188073,32.7688057730001,Human,Van Zandt,2020/08/09,21:23:00+00,2020/08/14,21:11:32+00,TX
-94.947282016,32.1878657,Human,Rusk,2018/08/02,20:21:01+00,2018/08/05,17:07:15+00,TX
-98.7881410959999,33.906280855,Human,Wichita,2020/06/30,01:45:20+00,2020/07/01,21:58:09+00,TX
-95.776907148,30.6281053590001,Human,Walker,2016/02/12,21:46:00+00,2016/02/12,23:15:00+00,TX
-93.7054066219999,30.8300054750001,Human,Newton,2016/03/03,22:25:00+00,2016/03/03,23:45:59+00,TX
-94.1604734049999,30.7660554450001,Unknown,Tyler,2020/07/01,19:57:59+00,2020/07/02,19:17:00+00,TX
-93.899286694,31.2569755550001,Unknown,Sabine,2020/07/03,20:54:00+00,2020/07/21,17:00:00+00,TX
-94.7976329909999,32.045554236,Human,Rusk,2019/03/20,13:18:00+00,2019/03/25,19:32:26+00,TX
-94.43490682,30.992205481,Human,Tyler,2015/10/11,22:27:00+00,2015/10/13,15:04:00+00,TX
-95.432940563,33.7144393040001,Human,Lamar,2017/02/08,23:02:00+00,2017/02/13,16:41:00+00,TX
-98.608341292,32.5236722710001,Natural,Stephens,2016/07/11,00:40:00+00,2016/07/19,00:27:00+00,TX
-100.471341864,34.2391724990001,Natural,Cottle,2019/08/13,22:36:59+00,2019/08/20,13:04:36+00,TX
-93.6580899479999,31.0027555120001,Human,Newton,2017/10/29,21:27:59+00,2017/10/29,22:38:59+00,TX
-94.610007013,33.6050059900001,Unknown,Bowie,2020/12/29,21:33:59+00,2020/12/30,18:59:59+00,TX
-97.107229726,31.001949827,Human,Bell,2020/08/08,22:16:48+00,2020/08/11,22:28:10+00,TX
-94.79301531,31.6227179970001,Human,Nacogdoches,2020/12/26,00:53:00+00,2021/01/04,14:59:26+00,TX
-98.524707975,33.067705715,Undetermined,Young,2015/08/26,01:15:59+00,2015/08/26,20:23:59+00,TX
-94.728757044,33.6143226460001,Human,Bowie,2017/12/12,20:51:00+00,2017/12/16,00:00:00+00,TX
-94.658973682,33.5497226370001,Human,Bowie,2016/11/21,20:50:00+00,2016/11/23,15:32:00+00,TX
-94.384740251,33.0184225530001,Human,Cass,2020/12/27,18:59:59+00,2021/01/04,14:34:05+00,TX
-97.627987769,33.3473258070001,Unknown,Wise,2021/03/08,22:20:00+00,2021/03/26,14:08:36+00,TX
-96.603340674,30.287227483,Unknown,Washington,2019/10/24,00:23:03+00,2019/10/28,21:58:09+00,TX
-93.676992661,30.677606,Human,Newton,2021/03/04,21:03:00+00,2021/03/05,22:16:35+00,TX
